Nodes:
1: (5,1)
2: (1,3)
3: (2,3)
4: (3,3)
5: (4,3)
6: (5,3)
7: (6,3)
8: (7,3)
9: (8,3)
10: (9,3)
11: (1,5)
12: (2,5)
13: (3,5)
14: (4,5)
15: (5,5)
16: (6,5)
17: (7,5)
18: (8,5)
19: (9,5)
20: (1,7)
21: (2,7)
22: (3,7)
23: (4,7)
24: (5,7)
25: (6,7)
26: (7,7)
27: (8,7)
28: (9,7)
29: (5,9)
Edges:
(1,2): 1
(1,3): 1
(1,4): 1
(1,5): 1
(1,6): 1
(1,7): 1
(1,8): 1
(1,9): 1
(1,10): 1
(2,11): 1
(3,12): 1
(4,13): 1
(5,14): 1
(6,15): 1
(7,16): 1
(8,17): 1
(9,18): 1
(10,19): 1
(11,20): 1
(12,21): 1
(13,22): 1
(14,23): 1
(15,24): 1
(16,25): 1
(17,26): 1
(18,27): 1
(19,28): 1
(20,29): 1
(21,29): 1
(22,29): 1
(23,29): 1
(24,29): 1
(25,29): 1
(26,29): 1
(27,29): 1
(28,29): 1
Origin:
1
Destinations:
29
